places,address,link,user,star,creat_date,comment
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Huy Hà Phước,5.0,2025-04-01,"The restaurant is delicious and the price is also ok. Overall, you should try it"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Cáo Lai Heo,1.0,2025-04-01,"The attitude from staff to management is very strange Food is little, never come back"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Nguyễn Văn Kiệt 18-03-03,5.0,2025-04-01,"Good food, lovely staff, quick service, 10 points"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Luân Minh,4.0,2025-04-01,"Delicious and cheaper than competitors, but the dipping sauce is not very delicious"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Tân Võ Thanh,5.0,2024-04-01,"Delicious food, enthusiastic and cheerful staff"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Nhật Duy Phạm Vương,5.0,2024-04-01,"Delicious food, attentive service"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Cảnh Cao,1.0,2025-04-01,"Stopped selling ticket prices but did not notify customers, still posted discounts but did not sell them."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Nguyễn Thị Ngọc Diễm,5.0,2024-04-01,"Delicious food, great"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",le anh khue,5.0,2024-04-01,"Delicious food, good service"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Nguyễn Thị Triều Mến,5.0,2025-04-01,"Good service staff, enthusiastic with customers"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Ánh Ánh,4.0,2024-04-01,"As far as I can see, everything is fine except the soup (the soup is too salty)."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Khang Lê,5.0,2024-04-01,"Diverse dishes, many types of models to choose from"
